verb,tam,modal,transitivity,polarity,complementizer,count
add,infinitival,none,intransitive,positive,that,969
add,infinitival,none,intransitive,positive,whether,1
add,modal,can,intransitive,positive,that,43
add,modal,could,intransitive,positive,that,19
add,modal,have,intransitive,positive,that,53
add,modal,may,intransitive,positive,that,27
add,modal,might,intransitive,positive,that,186
add,modal,must,intransitive,positive,that,59
add,modal,should,intransitive,positive,that,211
add,modal,will,intransitive,positive,that,142
add,modal,would,intransitive,positive,that,257
add,past,none,intransitive,negative,that,47
add,past,none,intransitive,positive,that,5370
add,perfect,none,intransitive,positive,that,78
add,present,none,intransitive,negative,that,10
add,present,none,intransitive,positive,that,2995
add,present,none,transitive,positive,whether,1
add,progressive,none,intransitive,negative,that,1
add,progressive,none,intransitive,positive,that,16
address,infinitival,none,intransitive,negative,whether,2
address,infinitival,none,intransitive,positive,that,111
address,infinitival,none,intransitive,positive,whether,66
address,modal,can,intransitive,negative,that,7
address,modal,can,intransitive,negative,whether,1
address,modal,can,intransitive,positive,whether,2
address,modal,could,intransitive,negative,that,2
address,modal,must,intransitive,positive,whether,3
address,modal,should,intransitive,positive,whether,5
address,modal,will,intransitive,negative,that,4
address,modal,will,intransitive,negative,whether,1
address,modal,will,intransitive,positive,that,18
address,modal,will,intransitive,positive,whether,3
address,modal,would,intransitive,negative,whether,5
address,modal,would,intransitive,positive,whether,1
address,past,none,intransitive,negative,that,11
address,past,none,intransitive,negative,whether,25
address,past,none,intransitive,positive,that,60
address,past,none,intransitive,positive,whether,44
address,perfect,none,intransitive,negative,that,7
address,perfect,none,intransitive,negative,whether,4
address,perfect,none,intransitive,positive,that,24
address,perfect,none,intransitive,positive,whether,11
address,present,none,intransitive,negative,that,11
address,present,none,intransitive,negative,whether,22
address,present,none,intransitive,positive,that,161
address,present,none,intransitive,positive,whether,44
address,present,none,transitive,negative,that,1
address,progressive,none,intransitive,negative,that,6
address,progressive,none,intransitive,negative,whether,1
address,progressive,none,intransitive,positive,that,19
address,progressive,none,intransitive,positive,whether,1
adduce,infinitival,none,intransitive,positive,whether,1
adjudicate,infinitival,none,intransitive,positive,whether,1
adjudicate,progressive,none,intransitive,positive,whether,1
adjust,infinitival,none,intransitive,positive,that,3
adjust,modal,can,transitive,negative,that,1
adjust,modal,could,intransitive,positive,whether,1
adjust,present,none,intransitive,negative,that,1
admire,infinitival,none,intransitive,negative,that,1
admire,infinitival,none,intransitive,positive,that,8
admire,past,none,intransitive,positive,that,22
admire,perfect,none,intransitive,positive,that,2
admire,present,none,intransitive,positive,that,114
admit,infinitival,none,intransitive,negative,that,11
admit,infinitival,none,intransitive,positive,that,3828
admit,infinitival,none,intransitive,positive,whether,3
admit,infinitival,none,transitive,positive,that,6
admit,modal,can,intransitive,negative,that,51
admit,modal,can,intransitive,positive,that,77
admit,modal,could,intransitive,negative,that,24
admit,modal,could,intransitive,positive,that,24
admit,modal,have,intransitive,positive,that,18
admit,modal,may,intransitive,positive,that,8
admit,modal,must,intransitive,positive,that,557
admit,modal,should,intransitive,negative,that,2
admit,modal,should,intransitive,positive,that,45
admit,modal,will,intransitive,negative,that,70
admit,modal,will,intransitive,negative,whether,1
admit,modal,will,intransitive,positive,that,691
admit,modal,would,intransitive,negative,that,27
admit,modal,would,intransitive,positive,that,94
admit,modal,would,transitive,positive,that,1
admit,past,none,intransitive,negative,that,36
admit,past,none,intransitive,positive,that,2835
admit,past,none,transitive,positive,that,4
admit,perfect,none,intransitive,negative,that,13
admit,perfect,none,intransitive,negative,whether,1
admit,perfect,none,intransitive,positive,that,373
admit,perfect,none,transitive,positive,that,1
admit,present,none,intransitive,negative,that,49
admit,present,none,intransitive,positive,that,5171
admit,present,none,intransitive,positive,whether,1
admit,present,none,transitive,negative,that,1
admit,present,none,transitive,positive,that,11
admit,progressive,none,intransitive,negative,that,6
admit,progressive,none,intransitive,positive,that,170
admit,progressive,none,transitive,positive,that,1
admiting,progressive,none,intransitive,positive,that,1
admonish,past,none,intransitive,positive,that,8
admonish,past,none,transitive,positive,that,3
admonish,perfect,none,transitive,positive,that,1
admonish,present,none,transitive,positive,that,3
adopt,infinitival,none,intransitive,positive,that,5
adopt,infinitival,none,intransitive,positive,whether,1
adopt,past,none,intransitive,positive,that,20
adopt,perfect,none,intransitive,positive,that,10
adore,past,none,intransitive,positive,that,6
adore,present,none,transitive,positive,whether,1
advance,infinitival,none,intransitive,positive,that,3
advance,infinitival,none,intransitive,positive,whether,1
advance,past,none,intransitive,positive,that,15
advance,present,none,intransitive,positive,that,83
advertise,infinitival,none,intransitive,positive,that,21
advertise,past,none,intransitive,negative,that,1
advertise,past,none,intransitive,positive,that,44
advertise,perfect,none,intransitive,positive,that,3
advertise,present,none,intransitive,negative,that,5
advertise,present,none,intransitive,positive,that,75
advertise,progressive,none,intransitive,negative,that,2
advertise,progressive,none,intransitive,positive,that,15
advise,infinitival,none,intransitive,positive,that,11
advise,infinitival,none,transitive,positive,that,5
advise,infinitival,none,transitive,positive,whether,2
advise,modal,can,transitive,negative,whether,1
advise,modal,can,transitive,positive,whether,1
advise,modal,must,transitive,positive,that,6
advise,modal,will,transitive,positive,whether,2
advise,modal,would,intransitive,negative,that,3
advise,modal,would,intransitive,positive,that,19
advise,modal,would,transitive,positive,that,3
advise,modal,would,transitive,positive,whether,1
advise,past,none,intransitive,negative,that,2
advise,past,none,intransitive,positive,that,264
advise,past,none,transitive,positive,that,96
advise,past,none,transitive,positive,whether,1
advise,perfect,none,intransitive,positive,that,40
advise,perfect,none,transitive,positive,that,25
advise,present,none,intransitive,negative,that,2
advise,present,none,intransitive,negative,whether,1
advise,present,none,intransitive,positive,that,398
advise,present,none,intransitive,positive,whether,5
advise,present,none,transitive,positive,that,36
advise,progressive,none,intransitive,negative,that,1
advise,progressive,none,intransitive,positive,that,15
advise,progressive,none,transitive,positive,that,3
advisories,present,none,intransitive,positive,that,9
advocate,infinitival,none,intransitive,negative,that,1
advocate,infinitival,none,intransitive,positive,that,26
advocate,modal,would,intransitive,negative,that,6
advocate,modal,would,intransitive,positive,that,13
advocate,past,none,intransitive,negative,that,2
advocate,past,none,intransitive,positive,that,90
advocate,perfect,none,intransitive,positive,that,39
advocate,present,none,intransitive,negative,that,14
advocate,present,none,intransitive,positive,that,101
advocate,present,none,intransitive,positive,whether,1
advocate,progressive,none,intransitive,negative,that,69
advocate,progressive,none,intransitive,positive,that,69
affect,infinitival,none,intransitive,positive,that,4
affect,infinitival,none,intransitive,positive,whether,11
affect,infinitival,none,transitive,positive,whether,2
affect,modal,can,intransitive,negative,whether,1
affect,modal,can,intransitive,positive,whether,17
affect,modal,could,intransitive,positive,whether,8
affect,modal,may,intransitive,positive,whether,6
affect,modal,might,intransitive,positive,whether,3
affect,modal,must,intransitive,negative,whether,1
affect,modal,should,intransitive,negative,whether,3
affect,modal,should,intransitive,positive,whether,1
affect,modal,will,intransitive,negative,that,1
affect,modal,will,intransitive,positive,whether,7
affect,modal,would,intransitive,positive,whether,2
affect,past,none,intransitive,negative,whether,2
affect,past,none,intransitive,positive,whether,2
affect,perfect,none,intransitive,positive,whether,2
affect,present,none,intransitive,negative,that,1
affect,present,none,intransitive,negative,whether,8
affect,present,none,intransitive,positive,that,36
affect,present,none,intransitive,positive,whether,57
affect,present,none,transitive,positive,whether,1
affect,progressive,none,intransitive,negative,whether,1
affect,progressive,none,intransitive,positive,that,2
affirm,infinitival,none,intransitive,negative,that,3
affirm,infinitival,none,intransitive,positive,that,126
affirm,infinitival,none,intransitive,positive,whether,1
affirm,modal,can,intransitive,positive,that,23
affirm,past,none,intransitive,negative,that,1
affirm,past,none,intransitive,positive,that,276
affirm,perfect,none,intransitive,positive,that,35
affirm,present,none,intransitive,negative,that,7
affirm,present,none,intransitive,positive,that,577
affirm,present,none,intransitive,positive,whether,2
affirm,progressive,none,intransitive,negative,that,1
affirm,progressive,none,intransitive,positive,that,8
afflict,present,none,transitive,positive,whether,1
afford,infinitival,none,intransitive,positive,that,9
afford,modal,can,intransitive,negative,that,36
afford,modal,can,intransitive,positive,that,19
afford,modal,can,transitive,positive,that,2
afford,modal,could,intransitive,negative,that,7
afford,modal,will,transitive,negative,that,1
afford,past,none,intransitive,negative,that,1
afford,present,none,intransitive,negative,that,1
affront,past,none,intransitive,positive,that,6
age,present,none,intransitive,positive,that,29
age,present,none,intransitive,positive,whether,2
age,progressive,none,intransitive,negative,that,2
aggravate,past,none,intransitive,positive,that,6
aggravate,progressive,none,intransitive,positive,that,3
aggregate,present,none,intransitive,positive,that,10
agitate,progressive,none,intransitive,positive,that,1
agonize,past,none,intransitive,positive,whether,1
agonize,perfect,none,intransitive,positive,that,2
agonize,present,none,intransitive,positive,whether,2
agonize,progressive,none,intransitive,positive,that,1
agp,present,none,intransitive,positive,whether,1
agree,infinitival,none,intransitive,negative,that,4
agree,infinitival,none,intransitive,positive,that,899
agree,infinitival,none,intransitive,positive,whether,6
agree,modal,be,intransitive,positive,that,24
agree,modal,can,intransitive,negative,that,44
agree,modal,can,intransitive,negative,whether,8
agree,modal,can,intransitive,positive,that,230
agree,modal,can,intransitive,positive,whether,1
agree,modal,could,intransitive,negative,that,5
agree,modal,could,intransitive,negative,whether,6
agree,modal,could,intransitive,positive,that,32
agree,modal,could,intransitive,positive,whether,2
agree,modal,have,intransitive,positive,that,88
agree,modal,may,intransitive,negative,that,8
agree,modal,may,intransitive,positive,that,33
agree,modal,might,intransitive,negative,that,2
agree,modal,might,intransitive,positive,that,48
agree,modal,must,intransitive,positive,that,55
agree,modal,should,intransitive,positive,that,17
agree,modal,should,intransitive,positive,whether,1
agree,modal,will,intransitive,negative,that,7
agree,modal,will,intransitive,positive,that,404
agree,modal,would,intransitive,negative,that,31
agree,modal,would,intransitive,positive,that,879
agree,past,none,intransitive,negative,that,35
agree,past,none,intransitive,positive,that,4596
agree,past,none,intransitive,positive,whether,1
agree,perfect,none,intransitive,negative,that,2
agree,perfect,none,intransitive,positive,that,443
agree,present,none,intransitive,negative,that,396
agree,present,none,intransitive,negative,whether,2
agree,present,none,intransitive,positive,that,13253
agree,present,none,intransitive,positive,whether,2
agree,progressive,none,intransitive,negative,that,1
agree,progressive,none,intransitive,positive,that,36
ahab,present,none,transitive,positive,that,2
ahout,present,none,intransitive,positive,whether,1
aid,present,none,intransitive,positive,that,15
aim,present,none,intransitive,negative,that,1
aim,present,none,intransitive,positive,that,20
aim,progressive,none,intransitive,negative,that,1
aim,progressive,none,intransitive,positive,that,3
air,past,none,intransitive,positive,that,12
air,perfect,none,intransitive,positive,that,2
air,progressive,none,intransitive,positive,that,3
aknowledge,infinitival,none,intransitive,positive,that,3
alarm,modal,should,transitive,negative,that,1
alarm,past,none,intransitive,positive,that,15
alarm,past,none,transitive,positive,that,2
alarm,present,none,intransitive,positive,that,50
alert,infinitival,none,transitive,negative,that,1
alert,infinitival,none,transitive,positive,that,20
alert,infinitival,none,transitive,positive,whether,1
alert,modal,should,transitive,positive,that,4
alert,modal,will,transitive,positive,that,2
alert,past,none,transitive,positive,that,31
alert,perfect,none,transitive,positive,that,3
alert,present,none,intransitive,positive,that,25
alert,present,none,transitive,positive,that,4
alert,progressive,none,intransitive,positive,that,1
allege,infinitival,none,intransitive,positive,that,55
allege,past,none,intransitive,negative,that,8
allege,past,none,intransitive,positive,that,942
allege,perfect,none,intransitive,negative,that,2
allege,perfect,none,intransitive,positive,that,141
allege,present,none,intransitive,negative,that,16
allege,present,none,intransitive,positive,that,1374
allege,progressive,none,intransitive,negative,that,4
allege,progressive,none,intransitive,positive,that,71
allow,infinitival,none,intransitive,negative,that,1
allow,infinitival,none,intransitive,positive,that,73
allow,modal,can,intransitive,negative,that,14
allow,modal,can,intransitive,negative,whether,1
allow,modal,will,intransitive,negative,that,20
allow,modal,will,intransitive,positive,that,24
allow,modal,would,intransitive,negative,that,12
allow,modal,would,transitive,positive,that,1
allow,past,none,intransitive,negative,that,3
allow,past,none,intransitive,positive,that,226
allow,past,none,intransitive,positive,whether,1
allow,perfect,none,intransitive,negative,that,3
allow,perfect,none,intransitive,positive,that,51
allow,perfect,none,transitive,positive,that,1
allow,present,none,intransitive,negative,that,16
allow,present,none,intransitive,positive,that,343
allow,present,none,transitive,negative,that,2
allow,progressive,none,intransitive,positive,that,3
alloy,present,none,intransitive,positive,that,8
allude,infinitival,none,intransitive,positive,that,3
allude,past,none,intransitive,positive,that,9
allude,perfect,none,intransitive,positive,that,3
allude,present,none,intransitive,negative,that,1
allude,progressive,none,intransitive,negative,that,1
allude,progressive,none,intransitive,positive,that,1
ally,present,none,intransitive,positive,that,38
alter,infinitival,none,intransitive,positive,that,5
alter,perfect,none,intransitive,positive,that,3
alter,perfect,none,intransitive,positive,whether,1
alter,present,none,intransitive,negative,that,1
alter,present,none,intransitive,negative,whether,1
alter,present,none,intransitive,positive,that,21
alternate,present,none,intransitive,positive,whether,1
amass,progressive,none,intransitive,positive,that,1
amaze,past,none,intransitive,positive,that,76
amaze,past,none,transitive,positive,that,16
amaze,present,none,transitive,positive,that,4
ambush,present,none,intransitive,positive,that,13
amend,infinitival,none,intransitive,positive,that,5
amend,past,none,intransitive,positive,that,10
amend,perfect,none,intransitive,positive,that,4
amount,present,none,intransitive,positive,that,32
amping,progressive,none,intransitive,positive,that,1
amuse,past,none,intransitive,positive,that,12
amuse,past,none,transitive,positive,that,14
amuse,present,none,transitive,positive,that,16
analyse,infinitival,none,intransitive,positive,whether,9
analyse,past,none,intransitive,positive,whether,2
analyse,present,none,intransitive,positive,that,129
analyze,infinitival,none,intransitive,positive,that,13
analyze,infinitival,none,intransitive,positive,whether,46
analyze,modal,must,intransitive,positive,whether,1
analyze,modal,should,intransitive,negative,whether,1
analyze,modal,should,intransitive,positive,whether,5
analyze,modal,will,intransitive,positive,whether,1
analyze,past,none,intransitive,negative,whether,1
analyze,past,none,intransitive,positive,that,11
analyze,past,none,intransitive,positive,whether,27
analyze,perfect,none,intransitive,negative,that,1
analyze,perfect,none,intransitive,positive,that,2
analyze,perfect,none,intransitive,positive,whether,2
analyze,present,none,intransitive,negative,whether,2
analyze,present,none,intransitive,positive,that,16
analyze,present,none,intransitive,positive,whether,24
analyze,progressive,none,intransitive,positive,that,3
analyze,progressive,none,intransitive,positive,whether,4
anchor,present,none,intransitive,positive,that,12
anger,past,none,intransitive,positive,that,15
anger,past,none,transitive,positive,that,6
anger,present,none,intransitive,positive,that,178
anger,progressive,none,intransitive,positive,that,1
announce,infinitival,none,intransitive,negative,that,3
announce,infinitival,none,intransitive,positive,that,1122
announce,infinitival,none,intransitive,positive,whether,28
announce,modal,can,intransitive,positive,that,14
announce,modal,could,intransitive,positive,that,9
announce,modal,could,intransitive,positive,whether,3
announce,modal,must,intransitive,positive,whether,2
announce,modal,should,intransitive,positive,that,17
announce,modal,will,intransitive,positive,that,61
announce,modal,will,intransitive,positive,whether,8
announce,modal,would,intransitive,negative,whether,1
announce,modal,would,intransitive,positive,that,28
announce,past,none,intransitive,negative,that,4
announce,past,none,intransitive,negative,whether,2
announce,past,none,intransitive,positive,that,7216
announce,past,none,intransitive,positive,whether,1
announce,past,none,transitive,positive,that,2
announce,perfect,none,intransitive,negative,that,7
announce,perfect,none,intransitive,negative,whether,8
announce,perfect,none,intransitive,positive,that,886
announce,present,none,intransitive,negative,that,3
announce,present,none,intransitive,negative,whether,1
announce,present,none,intransitive,positive,that,1045
announce,present,none,intransitive,positive,whether,6
announce,progressive,none,intransitive,negative,that,1
announce,progressive,none,intransitive,positive,that,97
announce,progressive,none,intransitive,positive,whether,1
announced,infinitival,none,intransitive,positive,whether,1
annoy,modal,would,transitive,positive,that,1
annoy,past,none,intransitive,positive,that,39
annoy,past,none,transitive,positive,that,18
annoy,present,none,transitive,positive,that,2
answer,infinitival,none,intransitive,positive,that,148
answer,infinitival,none,intransitive,positive,whether,55
answer,modal,can,intransitive,negative,that,65
answer,modal,can,intransitive,negative,whether,2
answer,modal,can,intransitive,positive,that,62
answer,modal,can,intransitive,positive,whether,1
answer,modal,could,intransitive,negative,that,12
answer,modal,could,intransitive,negative,whether,5
answer,modal,could,intransitive,positive,that,10
answer,modal,could,intransitive,positive,whether,1
answer,modal,may,intransitive,positive,whether,1
answer,modal,must,intransitive,positive,whether,2
answer,modal,should,intransitive,positive,whether,2
answer,modal,will,intransitive,negative,that,7
answer,modal,will,intransitive,positive,that,30
answer,modal,will,intransitive,positive,whether,3
answer,modal,would,intransitive,negative,whether,4
answer,modal,would,intransitive,positive,that,31
answer,past,none,intransitive,negative,that,7
answer,past,none,intransitive,negative,whether,6
answer,past,none,intransitive,positive,that,481
answer,past,none,intransitive,positive,whether,2
answer,past,none,transitive,positive,that,5
answer,perfect,none,intransitive,negative,that,5
answer,perfect,none,intransitive,negative,whether,2
answer,perfect,none,intransitive,positive,that,46
answer,present,none,intransitive,negative,that,11
answer,present,none,intransitive,negative,whether,3
answer,present,none,intransitive,positive,that,593
answer,present,none,intransitive,positive,whether,12
answer,progressive,none,intransitive,negative,that,2
answer,progressive,none,intransitive,positive,that,8
anticipate,infinitival,none,intransitive,negative,that,1
anticipate,infinitival,none,intransitive,positive,that,49
anticipate,infinitival,none,intransitive,positive,whether,1
anticipate,modal,can,intransitive,negative,whether,1
anticipate,modal,can,intransitive,positive,that,25
anticipate,modal,could,intransitive,positive,whether,1
anticipate,modal,might,intransitive,positive,that,10
anticipate,modal,should,intransitive,positive,that,15
anticipate,modal,would,intransitive,negative,that,2
anticipate,modal,would,intransitive,positive,that,46
anticipate,modal,would,intransitive,positive,whether,1
anticipate,past,none,intransitive,negative,that,43
anticipate,past,none,intransitive,positive,that,274
anticipate,perfect,none,intransitive,negative,that,10
anticipate,perfect,none,intransitive,positive,that,111
anticipate,present,none,intransitive,negative,that,40
anticipate,present,none,intransitive,positive,that,488
anticipate,present,none,intransitive,positive,whether,2
anticipate,progressive,none,intransitive,negative,that,3
anticipate,progressive,none,intransitive,positive,that,46
anticipate,progressive,none,intransitive,positive,whether,1
apologize,infinitival,none,intransitive,positive,that,6
apologize,modal,should,intransitive,positive,whether,1
apologize,past,none,intransitive,positive,that,33
apologize,present,none,intransitive,negative,that,1
apologize,present,none,intransitive,positive,that,73
apologize,progressive,none,intransitive,positive,that,2
appall,past,none,intransitive,positive,that,13
appeal,infinitival,none,intransitive,positive,that,8
appeal,present,none,intransitive,positive,that,11
appeal,progressive,none,intransitive,positive,that,5
appear,infinitival,none,intransitive,positive,that,49
appear,modal,may,intransitive,negative,that,2
appear,modal,may,intransitive,positive,that,49
appear,modal,might,intransitive,positive,that,55
appear,modal,will,intransitive,positive,that,32
appear,modal,would,intransitive,negative,that,2
appear,modal,would,intransitive,positive,that,833
appear,past,none,intransitive,negative,that,50
appear,past,none,intransitive,negative,whether,1
appear,past,none,intransitive,positive,that,1081
appear,past,none,intransitive,positive,whether,2
appear,perfect,none,intransitive,positive,that,46
appear,present,none,intransitive,negative,that,268
appear,present,none,intransitive,negative,whether,2
appear,present,none,intransitive,positive,that,6520
appear,present,none,intransitive,positive,whether,1
appear,progressive,none,intransitive,positive,that,8
applaud,present,none,intransitive,positive,that,25
applaud,progressive,none,intransitive,positive,that,3
apply,infinitival,none,intransitive,negative,that,2
apply,infinitival,none,intransitive,positive,that,56
apply,infinitival,none,intransitive,positive,whether,2
apply,infinitival,none,transitive,positive,that,2
apply,modal,can,intransitive,negative,that,4
apply,modal,can,intransitive,positive,that,24
apply,modal,might,intransitive,negative,that,2
apply,modal,shall,intransitive,positive,whether,2
apply,modal,should,intransitive,positive,whether,1
apply,modal,would,intransitive,positive,whether,2
apply,past,none,intransitive,negative,that,2
apply,past,none,intransitive,positive,that,28
apply,perfect,none,intransitive,positive,that,8
apply,perfect,none,intransitive,positive,whether,1
apply,present,none,intransitive,negative,that,1
apply,present,none,intransitive,positive,that,128
apply,present,none,intransitive,positive,whether,45
apply,progressive,none,intransitive,negative,that,4
apply,progressive,none,intransitive,positive,that,9
appoint,perfect,none,intransitive,positive,that,5
appraise,infinitival,none,intransitive,positive,whether,2
appraise,present,none,intransitive,positive,whether,1
appreciate,infinitival,none,intransitive,negative,that,1
appreciate,infinitival,none,intransitive,positive,that,200
appreciate,infinitival,none,intransitive,positive,whether,2
appreciate,infinitival,none,transitive,positive,whether,1
appreciate,modal,can,intransitive,negative,that,7
appreciate,modal,can,intransitive,positive,that,89
appreciate,modal,could,intransitive,negative,that,3
appreciate,modal,have,intransitive,positive,that,16
appreciate,modal,must,intransitive,positive,that,8
appreciate,modal,should,intransitive,positive,that,16
appreciate,modal,will,intransitive,negative,that,2
appreciate,modal,will,intransitive,positive,that,55
appreciate,modal,would,intransitive,positive,that,21
appreciate,past,none,intransitive,negative,that,28
appreciate,past,none,intransitive,positive,that,180
appreciate,past,none,transitive,positive,that,2
appreciate,perfect,none,intransitive,negative,that,3
appreciate,perfect,none,intransitive,positive,that,15
appreciate,present,none,intransitive,negative,that,40
appreciate,present,none,intransitive,positive,that,1627
appreciate,present,none,transitive,negative,that,1
appreciate,present,none,transitive,positive,that,6
appreciate,progressive,none,intransitive,negative,that,1
appreciate,progressive,none,intransitive,positive,that,3
apprehend,infinitival,none,intransitive,positive,that,5
apprehend,past,none,intransitive,negative,that,1
